ACCOUNT,PARENT,ALIAS:_DEFAULT,'STORE',AGGREGATION_(EPBCS)
OFS_Repayments of Borrowings,OFS_Capex FinStmt Integration,null,Store,null
OFS_Discount Rate,OFS_Cash Flow KPIs,null,Store,null
OFS_PV of Cash Flow,OFS_Cash Flow KPIs,null,Store,null
Electronics,Revenue,<none>,Store,+
OWP_Workforce Planning - Accounts,Account,null,Store,null
OWP_FT/PT,OWP_Employee Properties,null,Store,null
OWP_Workforce Expenses,OWP_Workforce Planning - Accounts,null,Store,null
OWP_Benefit7,OWP_Total Benefits,null,Store,null
OWP_Tax10,Total  Taxes,null,Store,null
OWP_Tax10,OWP_Total Taxes,null,Store,null
OWP_FYTD Total Salary,OWP_YTD Accounts,null,Store,null
OWP_FYTD Taxable Compensation,OWP_YTD Accounts,null,Store,null
OWP_Total Labor Hours,OWP_Workforce Project Integration Accounts,null,Store,null
OCX_Equipment UOM,OCX_Unit of Measure,null,Store,null
OCX_Intangible Assets - Indefinite,OCX_Finstatement Accounts for Intangible Assets,null,Store,null
OCX_Intangible Assets - Indefinite,OCX_Total Fixed Assets Gross,null,Store,null
OCX_Intangible Assets - Indefinite,"OCX_Intangible Assets, Net",null,Store,null
OCX_Detailed Planning,OCX_Accounts - Capital Expense,null,Store,null
OCX_FOG Cost per Year,OCX_Custom Tangible Cost Assumptions,null,Store,null
OCX_FOG Cost per Year,OCX_Asset Cost Assumptions,null,Store,null
OCX_Asset Properties,OCX_Capital Assumptions,null,Store,null
OCX_CAR No.,OCX_Custom Justification and Descriptive Properties New,null,Store,null
OCX_CAR No.,OCX_Descriptive Properties,null,Store,null
OCX_Asset Capacity,OCX_Capacity Assumptions,null,Store,null
OCX_Asset Capacity,OCX_Required Assumption On Forms,null,Store,null
OCX_Number of Hours,OCX_Asset Properties,null,Store,null
OCX_Reason delayed,OCX_Custom Date Assumptions,null,Store,null
OCX_Asset Status,OCX_Asset Control Properties,null,Store,null
OCX_Retirement Date,OCX_Retirement Assumptions,null,Store,null
OCX_Impairment Option,OCX_Impairment Assumptions,null,Store,null
OCX_Impairment Date2,OCX_Impairment Assumptions,null,Store,null
OCX_Loss/Gain on Sale of Intangibles,OCX_Net Loss/(Gain) on Sale of Assets,null,Store,null
OCX_Operating Lease Payments,OCX_Capital Cash Flow Impact,null,Store,null
OCX_Custom Justification and Descriptive Properties New,OCX_Custom Descriptive Properties,null,Store,null
