Account|Parent|Alias: Default|Data Storage|Aggregation (EPBCS)
Investments|Total Other Assets|null|dynamic calc|+
A16150|Investments|16150-RyCrew Investment - DRBE|never share|+
A16250|Investments|16250-Investment - HEDR Hartland|never share|+
A18050|PP&E|18050-Office Furniture, Fixtures & Equipment|never share|+
Accounts Payable & Accrued Expenses|Total Liabilities|null|dynamic calc|+
A20012|Accounts Payable & Accrued Expenses|20012-Knight Acquisition - Adjust Holdback|never share|+
A63350|Sales & Marketing|63350-Model Utilities|never share|+
A68150|Sales & Marketing|68150-Temporary Sales Assistants|never share|+
A63206|Sales & Marketing|63206-Elevate Homes Expenses|never share|+
A72100|Production Expenses|72100-Site Engineering|never share|+
A73700|Production Expenses|73700-Snow Removal & Winter Expenses|never share|+
A75200|Production Expenses|75200-Production Business Meals|never share|+
A91300|Interest & Real Estate Taxes|91300-Legal - Loan Related|never share|+
A90200|Interest & Real Estate Taxes|90200-Interest Exp - BOA|never share|+
